,timestamp,views,chg
2020-05-10 01:01:52.079701120,2015-09-15,509476.99999999994,0.05394211095272006
2020-05-10 01:02:45.877957658,2015-09-16,524196.0,-0.028480950837410646
2020-05-10 01:03:39.676214196,2015-09-17,498657.0000000001,0.04994717553319461
2020-05-10 01:04:33.474470734,2015-09-18,511428.00000000006,-0.025288328368690216
2020-05-10 01:05:27.272727272,2015-09-19,546501.9999999999,-0.06633115424185654
2020-05-10 01:06:21.070983810,2015-09-21,564539.0000000001,-0.03247150162926182
2020-05-10 01:07:14.869240348,2015-09-22,515678.99999999994,0.09052499001333736
2020-05-10 01:08:08.667496886,2015-09-23,521280.0,-0.0108028465355261
2020-05-10 01:09:02.465753424,2015-09-24,514254.99999999994,0.013568074030457566
2020-05-10 01:09:56.264009962,2015-09-25,523889.0,-0.01856057843717096
